CNTYVTD,VTDKEY,CarterR_18G_U.S. Rep 31,HegarD_18G_U.S. Rep 31,HopeL_18G_U.S. Rep 31
0270101,189,1172,448,27
0270102,190,1572,624,34
0270103,191,562,283,9
0270104,192,1423,488,25
0270105,193,716,146,6
0270106,194,487,1004,23
0270107,195,185,87,3
0270108,196,744,174,12
0270109,197,375,578,21
0270110,198,175,171,6
0270111,199,814,529,17
0270113,200,1152,521,21
0270114,201,815,538,24
0270115,202,1747,614,35
0270116,203,184,383,15
0270117,204,0,0,0
0270118,205,679,258,12
0270119,206,540,281,12
0270201,207,578,573,14
0270202,208,1137,791,33
0270203,209,1612,429,32
0270204,210,268,365,6
0270205,211,618,1234,20
0270206,212,384,664,21
0270207,213,386,875,30
0270208,214,626,1322,19
0270209,215,837,1005,25
0270210,216,553,901,17
0270211,217,147,183,5
0270212,218,227,278,7
0270213,219,1895,505,34
0270214,220,700,1021,25
0270215,221,745,1199,28
0270216,222,820,620,21
0270301,223,1589,346,25
0270302,224,1297,947,26
0270303,225,1134,1033,29
0270304,226,127,45,1
0270305,227,823,407,11
0270306,228,470,673,22
0270307,229,270,785,9
0270308,230,1087,731,24
0270309,231,595,136,4
0270310,232,260,44,2
0270311,233,1331,308,22
0270312,234,821,180,7
0270313,235,1743,776,31
0270314,236,684,575,19
0270315,237,953,553,24
0270317,238,530,256,5
0270318,239,1210,711,37
0270319,240,1125,561,16
0270401,241,492,181,11
0270402,242,563,268,9
0270404,243,405,845,19
0270405,244,0,0,0
0270406,245,488,560,14
0270408,246,515,975,18
0270409,247,435,468,15
0270410,248,242,470,12
0270412,249,93,201,2
0270414,251,0,0,0
0270415,252,459,880,21
0270419,253,416,200,5
4910116,9460,360,479,23
4910116,9461,0,0,0
4910117,9462,672,1692,54
4910118,9463,723,1240,34
4910119,9464,1008,1159,57
4910122,9465,139,156,6
4910123,9466,677,1255,36
4910135,9467,490,1149,36
4910136,9468,32,79,1
4910138,9469,524,575,25
4910139,9470,655,1097,35
4910143,9471,87,187,5
4910144,9472,152,225,8
4910145,9473,528,848,35
4910146,9474,677,1784,40
4910147,9475,820,2134,65
4910149,9476,434,775,13
4910150,9477,684,1406,49
4910151,9478,810,2035,57
4910155,9479,569,1185,30
4910162,9480,738,1781,42
4910163,9481,491,989,30
4910164,9482,73,144,6
4910166,9483,484,658,23
4910173,9484,672,892,41
4910174,9485,333,844,27
4910175,9486,504,1163,31
4910180,9487,750,1413,45
4910181,9488,351,636,20
4910182,9489,360,307,7
4910184,9490,307,413,16
4910186,9491,601,1134,33
4910189,9492,775,1488,32
4910191,9493,175,259,9
4910192,9494,130,192,6
4910198,9495,21,30,1
4910201,9496,859,1078,35
4910202,9497,189,156,5
4910203,9498,30,39,1
4910204,9499,870,1100,38
4910205,9500,46,67,2
4910206,9501,722,258,23
4910207,9502,1092,403,27
4910208,9503,570,200,14
4910209,9504,1216,457,39
4910210,9505,494,318,22
4910216,9506,365,457,23
4910229,9507,71,58,1
4910230,9508,1138,1319,55
4910231,9509,524,486,15
4910243,9510,365,177,8
4910244,9511,493,245,11
4910245,9512,948,410,33
4910251,9513,35,12,1
4910252,9514,972,818,27
4910253,9515,1429,1194,64
4910254,9516,1024,1087,56
4910255,9517,556,391,30
4910256,9518,378,284,12
4910257,9519,886,856,38
4910258,9520,33,21,1
4910259,9521,372,330,17
4910261,9522,635,626,29
4910262,9523,525,456,23
4910263,9524,688,674,29
4910264,9525,750,645,33
4910266,9526,714,971,35
4910267,9527,462,309,18
4910276,9528,496,512,23
4910277,9529,1200,1330,60
4910278,9530,1257,1544,59
4910279,9531,36,39,0
4910283,9532,902,1113,50
4910284,9533,1103,1264,56
4910287,9534,698,762,40
4910301,9535,1118,1577,41
4910302,9536,209,176,1
4910303,9537,615,904,25
4910305,9538,421,174,7
4910306,9539,1732,716,31
4910307,9540,285,155,4
4910308,9541,397,187,9
4910309,9542,1343,529,31
4910310,9543,652,249,18
4910311,9544,39,19,1
4910312,9545,327,184,8
4910314,9546,928,1116,45
4910317,9547,302,334,12
4910318,9548,126,131,6
4910319,9549,58,60,2
4910320,9550,423,451,18
4910321,9551,8,9,0
4910322,9552,444,486,24
4910323,9553,28,30,1
4910331,9554,318,268,10
4910332,9555,826,664,22
4910333,9556,180,185,6
4910338,9557,703,779,30
4910340,9558,603,719,20
4910341,9559,969,648,32
4910342,9560,295,370,16
4910343,9561,1032,802,43
4910344,9562,541,269,12
4910345,9563,304,185,12
4910346,9564,438,221,14
4910360,9565,1105,1625,48
4910367,9566,21,27,0
4910368,9567,669,854,20
4910369,9568,684,675,29
4910370,9569,632,580,34
4910371,9570,1183,648,33
4910372,9571,1242,1246,47
4910379,9572,1555,739,40
4910380,9573,18,25,2
4910381,9574,1716,956,27
4910390,9575,963,1015,42
4910390,9576,0,0,0
4910391,9577,694,356,16
4910392,9578,1426,732,44
4910393,9579,1708,881,19
4910394,9580,1767,957,21
4910395,9581,123,51,5
4910396,9582,915,529,11
4910397,9583,945,540,13
4910398,9584,881,1239,46
4910399,9585,212,301,9
4910401,9586,855,1201,52
4910402,9587,870,1163,53
4910403,9588,315,391,15
4910409,9589,81,41,3
4910410,9590,986,525,37
4910411,9591,939,428,39
4910412,9592,303,154,6
4910413,9593,1148,439,21
4910415,9594,651,314,19
4910418,9595,4,3,0
4910419,9596,132,155,4
4910420,9597,587,703,16
4910421,9598,325,285,18
4910422,9599,807,945,29
4910424,9600,1489,1151,36
4910425,9601,207,127,4
4910426,9602,303,259,12
4910427,9603,794,648,19
4910428,9604,815,629,22
4910429,9605,450,671,25
4910432,9606,103,111,5
4910433,9607,1308,1257,61
4910434,9608,470,152,10
4910436,9609,377,235,9
4910437,9610,1412,1606,35
4910456,9611,334,466,9
4910468,9612,209,261,10
4910470,9613,602,426,21
4910471,9614,68,47,0
4910472,9615,152,107,7
4910473,9616,326,221,14
4910482,9617,1153,974,31
4910484,9618,718,959,38
4910485,9619,429,582,19
4910486,9620,288,275,10
4910487,9621,34,37,1
4910488,9622,848,901,28
4910489,9623,849,1041,30
4910490,9624,1044,1251,43
4910491,9625,791,1172,37
