CNTYVTD,VTDKEY,CarterR_22G_U.S. Rep 31,CarterR_22G_U.S. Rep 31_Percentage
270101,189,1887,1.0
270102,190,1133,1.0
270103,191,937,1.0
270104,192,1766,1.0
270105,193,803,1.0
270107,195,222,1.0
270108,196,896,1.0
270110,198,184,1.0
270111,199,1448,1.0
270113,200,1373,1.0
270114,201,888,1.0
270115,202,2125,1.0
270118,205,1092,1.0
270119,206,910,1.0
270201,207,836,1.0
270202,208,1283,1.0
270203,209,2193,1.0
270212,218,454,1.0
270213,219,2456,1.0
270216,222,996,1.0
270301,223,1941,1.0
270302,224,1401,1.0
270303,225,1512,1.0
270304,226,166,1.0
270305,227,868,1.0
270306,228,694,1.0
270307,229,468,1.0
270308,230,1240,1.0
270309,231,666,1.0
270310,232,297,1.0
270311,233,1644,1.0
270312,234,1003,1.0
270313,235,1869,1.0
270314,236,783,1.0
270315,237,1591,1.0
270317,238,703,1.0
270318,239,1770,1.0
270319,240,1504,1.0
350001,1055,409,1.0
350002,1056,404,1.0
350003,1057,531,1.0
350004,1058,289,1.0
350005,1059,830,1.0
350006,1060,644,1.0
350007,1061,408,1.0
350008,1062,1081,1.0
350009,1063,467,1.0
350010,1064,641,1.0
350011,1065,473,1.0
530001,1353,806,1.0
530002,1354,1434,1.0
530003,1355,516,1.0
530004,1356,1370,1.0
530005,1357,575,1.0
530006,1358,296,1.0
530007,1359,365,1.0
530008,1360,677,1.0
530009,1361,1501,1.0
530010,1362,881,1.0
530011,1363,335,1.0
530012,1364,936,1.0
530013,1365,581,1.0
530014,1366,314,1.0
530015,1367,478,1.0
530016,1368,329,1.0
530017,1369,1150,1.0
530018,1370,562,1.0
530019,1371,1920,1.0
530020,1372,1559,1.0
990101,1985,1683,1.0
990102,1986,769,1.0
990103,1987,192,1.0
990104,1988,1456,1.0
990205,1989,1114,1.0
990206,1990,432,1.0
990207,1991,1250,1.0
990308,1992,1890,1.0
990309,1993,402,1.0
990310,1994,468,1.0
990311,1995,21,1.0
990412,1996,974,1.0
990413,1997,1146,1.0
990414,1998,240,1.0
990415,1999,138,1.0
990416,2000,797,1.0
1930001,4192,484,1.0
1930004,4193,67,1.0
1930005,4194,88,1.0
1930007,4195,793,1.0
1930009,4196,105,1.0
1930012,4197,142,1.0
1930014,4198,114,1.0
1930015,4199,106,1.0
1930017,4200,103,1.0
1930022,4201,543,1.0
1930023,4202,499,1.0
4910119,9464,1057,1.0
4910182,9489,360,1.0
4910184,9490,359,1.0
4910191,9493,205,1.0
4910192,9494,122,1.0
4910201,9496,974,1.0
4910202,9497,166,1.0
4910203,9498,70,1.0
4910204,9499,1003,1.0
4910205,9500,132,1.0
4910206,9501,1152,1.0
4910207,9502,1613,1.0
4910208,9503,699,1.0
4910209,9504,1714,1.0
4910210,9505,1301,1.0
4910229,9507,144,1.0
4910230,9508,1274,1.0
4910231,9509,633,1.0
4910243,9510,972,1.0
4910244,9511,1336,1.0
4910245,9512,1589,1.0
4910251,9513,39,1.0
4910252,9514,1543,1.0
4910253,9515,1603,1.0
4910254,9516,1216,1.0
4910255,9517,992,1.0
4910256,9518,666,1.0
4910257,9519,1363,1.0
4910258,9520,187,1.0
4910259,9521,760,1.0
4910261,9522,867,1.0
4910262,9523,861,1.0
4910263,9524,1069,1.0
4910264,9525,859,1.0
4910267,9527,1237,1.0
4910276,9528,580,1.0
4910277,9529,1471,1.0
4910278,9530,1015,1.0
4910279,9531,32,1.0
4910283,9532,839,1.0
4910284,9533,1307,1.0
4910287,9534,722,1.0
4910301,9535,1408,1.0
4910302,9536,259,1.0
4910305,9538,490,1.0
4910306,9539,2273,1.0
4910307,9540,386,1.0
4910308,9541,349,1.0
4910309,9542,1676,1.0
4910310,9543,821,1.0
4910311,9544,78,1.0
4910312,9545,502,1.0
4910314,9546,1175,1.0
4910318,9548,101,1.0
4910319,9549,60,1.0
4910320,9550,621,1.0
4910331,9554,203,1.0
4910332,9555,1006,1.0
4910333,9556,249,1.0
4910341,9559,958,1.0
4910342,9560,566,1.0
4910343,9561,1563,1.0
4910344,9562,966,1.0
4910345,9563,641,1.0
4910346,9564,782,1.0
4910360,9565,1199,1.0
4910367,9566,35,1.0
4910368,9567,983,1.0
4910369,9568,1252,1.0
4910370,9569,882,1.0
4910371,9570,969,1.0
4910372,9571,1589,1.0
4910379,9572,1736,1.0
4910380,9573,59,1.0
4910381,9574,1830,1.0
4910390,9575,1002,1.0
4910390,9576,0,0.0
4910391,9577,678,1.0
4910392,9578,1694,1.0
4910393,9579,1649,1.0
4910394,9580,1775,1.0
4910395,9581,653,1.0
4910396,9582,972,1.0
4910397,9583,1293,1.0
4910401,9586,1207,1.0
4910402,9587,1183,1.0
4910403,9588,751,1.0
4910409,9589,307,1.0
4910410,9590,1288,1.0
4910411,9591,1120,1.0
4910412,9592,723,1.0
4910415,9594,851,1.0
4910419,9596,310,1.0
4910420,9597,873,1.0
4910422,9599,1233,1.0
4910424,9600,1583,1.0
4910425,9601,213,1.0
4910427,9603,888,1.0
4910428,9604,1044,1.0
4910429,9605,620,1.0
4910432,9606,91,1.0
4910433,9607,1623,1.0
4910434,9608,640,1.0
4910436,9609,553,1.0
4910437,9610,1535,1.0
4910456,9611,543,1.0
4910468,9612,289,1.0
4910470,9613,1161,1.0
4910471,9614,117,1.0
4910472,9615,268,1.0
4910473,9616,314,1.0
4910482,9617,1290,1.0
4910484,9618,1019,1.0
4910485,9619,565,1.0
4910486,9620,590,1.0
4910487,9621,62,1.0
4910488,9622,997,1.0
4910491,9625,1063,1.0
