CNTYVTD,VTDKEY,GuillenR_22G_State Rep 31,GutierrezD_22G_State Rep 31
"0470001",1317,140,298
"0470002",1318,213,315
"0470003",1319,119,211
"0470004",1320,203,299
"047003S",1321,64,49
"1310001",3209,362,420
"1310002",3210,331,309
"1310003",3211,88,138
"1310004",3212,52,17
"1310005",3213,94,86
"1310006",3214,41,33
"1310007",3215,55,16
"1310008",3216,677,320
"1310009",3217,220,256
"2470001",6155,185,134
"2470002",6156,218,179
"2470003",6157,177,118
"2470004",6158,241,208
"2470005",6159,5,5
"2550001",6229,408,190
"2550002",6230,101,13
"2550003",6231,106,4
"2550004",6232,345,113
"2550005",6233,231,80
"2550006",6234,186,3
"2550007",6235,368,31
"2550008",6236,88,17
"2550009",6237,112,16
"2550010",6238,189,12
"2550011",6239,312,80
"2550012",6240,222,49
"2550013",6241,30,3
"2550014",6242,183,172
"2550015",6243,39,18
"2610001",6298,35,11
"2610002",6299,12,12
"2610003",6300,5,2
"2610004",6301,33,2
"2610005",6302,8,5
"2610006",6303,5,4
"2830001",6416,281,142
"2830002",6417,77,81
"2830003",6418,127,146
"2830004",6419,38,1
"2830005",6420,147,120
"2830006",6421,95,81
"2970001",6513,269,43
"2970002",6514,487,94
"2970003",6515,298,104
"2970004",6516,352,46
"2970005",6517,216,16
"2970006",6518,141,13
"2970007",6519,27,0
"2970008",6520,81,3
"2970009",6521,397,98
"2970010",6522,211,22
"2970011",6523,61,2
"2970012",6524,92,4
"2970013",6525,295,30
"2970014",6526,454,66
"3110001",6749,59,3
"3110002",6750,110,10
"3110003",6751,72,9
"3110004",6752,89,7
"4270001",7851,769,329
"4270002",7852,642,261
"4270003",7853,434,166
"4270004",7854,237,86
"4270005",7855,32,14
"4270006",7856,915,376
"4270007",7857,190,72
"4270008",7858,727,298
"4270009",7859,416,257
"4270010",7860,784,344
"4270011",7861,785,316
"4270012",7862,711,283
"4270013",7863,337,127
"4270014",7864,226,135
"4930101",9626,1353,666
"4930102",9627,401,473
"4930103",9628,603,316
"4930104",9629,528,167
"4930205",9630,1413,255
"4930206",9631,772,407
"4930207",9632,1340,461
"4930311",9633,1326,203
"4930312",9634,1382,212
"4930313",9635,1694,299
"4930414",9636,1298,221
"4930415",9637,1668,422
"4930416",9638,1008,224
"5050001",9700,436,315
"5050002",9701,441,283
"5050003",9702,483,293
"5050004",9703,274,240
"505001A",9704,26,6
"505001B",9705,18,27
"505002A",9706,158,111
