CNTYVTD,VTDKEY,HunterR_22P_State Rep 32
70001,69,510
70002,70,560
70003,71,1222
70004,72,991
7001,73,216
7004,74,339
3550002,7149,206
3550003,7150,376
3550005,7152,206
3550006,7153,366
3550008,7155,155
3550008,7156,2
3550008,7157,0
3550016,7165,113
3550017,7166,152
3550018,7167,222
3550019,7168,676
3550026,7175,569
3550029,7178,343
3550032,7181,173
3550040,7189,830
3550042,7191,73
3550063,7212,358
3550064,7213,145
3550065,7214,414
3550067,7216,307
3550070,7219,80
3550081,7230,773
3550084,7233,37
3550086,7235,58
3550088,7237,184
3550089,7238,35
3550090,7239,41
3550091,7240,242
3550092,7241,210
3550092,7242,7
3550109,7259,38
3550115,7265,173
3550116,7266,289
3550117,7267,386
3550119,7269,319
3550120,7270,184
3550122,7272,469
3550124,7274,250
3550125,7275,209
3550126,7276,466
3550127,7277,270
3550128,7278,229
3550129,7279,286
