CNTYVTD,VTDKEY,CarterR_22P_U.S. Rep 31,GarapatiR_22P_U.S. Rep 31,WilliamsR_22P_U.S. Rep 31
270101,189,593,43,119
270102,190,396,43,72
270103,191,218,9,32
270104,192,560,24,88
270105,193,261,7,39
270107,195,63,11,15
270108,196,323,19,56
270110,198,24,4,5
270111,199,349,12,96
270113,200,463,30,63
270114,201,233,10,45
270115,202,563,59,94
270118,205,344,20,62
270119,206,212,13,39
270201,207,212,9,30
270202,208,328,15,51
270203,209,767,47,126
270212,218,149,13,25
270213,219,996,112,155
270216,222,282,20,38
270301,223,620,20,87
270302,224,431,19,88
270303,225,395,31,69
270304,226,68,3,9
270305,227,336,15,56
270306,228,129,8,24
270307,229,83,8,19
270308,230,363,22,56
270309,231,234,21,43
270310,232,124,9,19
270311,233,565,32,98
270312,234,300,17,52
270313,235,719,67,115
270314,236,226,19,42
270315,237,308,28,49
270317,238,214,9,35
270318,239,459,24,69
270319,240,464,28,74
350001,1055,112,10,49
350002,1056,106,10,64
350003,1057,143,29,76
350004,1058,103,13,27
350005,1059,185,18,124
350006,1060,162,25,91
350007,1061,142,21,37
350008,1062,353,56,143
350009,1063,143,12,52
350010,1064,198,24,55
350011,1065,149,13,53
530001,1353,260,62,159
530002,1354,437,120,254
530003,1355,143,22,97
530004,1356,327,89,223
530005,1357,237,46,78
530006,1358,93,16,52
530007,1359,101,30,68
530008,1360,208,41,147
530009,1361,459,97,260
530010,1362,281,54,161
530011,1363,78,11,71
530012,1364,276,38,111
530013,1365,150,22,81
530014,1366,109,20,46
530015,1367,142,20,69
530016,1368,97,8,43
530017,1369,343,102,201
530018,1370,128,31,91
530019,1371,517,187,294
530020,1372,440,113,265
990101,1985,361,85,118
990102,1986,268,42,54
990103,1987,68,17,18
990104,1988,372,55,101
990205,1989,333,55,124
990206,1990,84,24,28
990207,1991,320,52,86
990308,1992,659,99,165
990309,1993,132,19,40
990310,1994,130,16,42
990311,1995,0,0,1
990412,1996,232,43,67
990413,1997,379,70,118
990414,1998,87,22,29
990415,1999,58,10,11
990416,2000,174,31,54
1930001,4192,158,33,41
1930004,4193,28,4,10
1930005,4194,22,5,9
1930007,4195,154,15,125
1930009,4196,31,5,7
1930012,4197,35,3,12
1930014,4198,31,6,7
1930015,4199,39,6,11
1930017,4200,28,6,8
1930022,4201,182,30,76
1930023,4202,177,47,55
4910119,9464,315,36,62
4910182,9489,102,16,23
4910184,9490,69,5,15
4910191,9493,38,11,12
4910192,9494,24,3,2
4910201,9496,194,23,43
4910202,9497,39,4,15
4910203,9498,18,0,6
4910204,9499,223,26,56
4910205,9500,48,6,15
4910206,9501,254,35,72
4910207,9502,410,40,101
4910208,9503,138,25,62
4910209,9504,421,40,97
4910210,9505,265,23,125
4910229,9507,49,6,8
4910230,9508,275,38,81
4910231,9509,124,16,51
4910243,9510,235,36,79
4910244,9511,335,48,110
4910245,9512,336,54,141
4910251,9513,23,1,4
4910252,9514,335,56,97
4910253,9515,414,43,80
4910254,9516,248,34,116
4910255,9517,166,23,59
4910256,9518,126,23,49
4910257,9519,267,27,100
4910258,9520,27,7,8
4910259,9521,147,20,36
4910261,9522,176,27,59
4910262,9523,239,19,54
4910263,9524,256,29,75
4910264,9525,162,28,49
4910267,9527,176,26,78
4910276,9528,153,12,46
4910277,9529,391,54,108
4910278,9530,258,42,70
4910279,9531,10,0,3
4910283,9532,214,25,61
4910284,9533,319,35,79
4910287,9534,178,26,48
4910301,9535,245,50,55
4910302,9536,82,10,21
4910305,9538,98,12,26
4910306,9539,673,94,141
4910307,9540,143,22,34
4910308,9541,110,21,22
4910309,9542,423,63,127
4910310,9543,217,17,62
4910311,9544,30,0,4
4910312,9545,178,28,38
4910314,9546,256,43,58
4910318,9548,33,0,2
4910319,9549,13,3,6
4910320,9550,179,29,86
4910331,9554,33,13,16
4910332,9555,242,35,55
4910333,9556,71,11,17
4910341,9559,268,43,67
4910342,9560,132,19,39
4910343,9561,465,53,111
4910344,9562,280,33,93
4910345,9563,185,20,55
4910346,9564,249,30,77
4910360,9565,305,49,83
4910367,9566,11,0,4
4910368,9567,220,38,66
4910369,9568,223,17,67
4910370,9569,199,25,53
4910371,9570,284,28,65
4910372,9571,420,60,108
4910379,9572,559,54,119
4910380,9573,21,3,7
4910381,9574,725,188,125
4910390,9575,246,31,68
4910390,9576,0,0,0
4910391,9577,221,20,80
4910392,9578,470,59,103
4910393,9579,754,118,121
4910394,9580,738,184,106
4910395,9581,174,30,31
4910396,9582,396,88,72
4910397,9583,554,92,72
4910401,9586,253,24,70
4910402,9587,246,31,63
4910403,9588,122,23,46
4910409,9589,53,5,25
4910410,9590,200,21,83
4910411,9591,361,38,119
4910412,9592,232,7,56
4910415,9594,277,22,59
4910419,9596,70,7,17
4910420,9597,164,30,68
4910422,9599,259,34,71
4910424,9600,521,50,146
4910425,9601,56,5,13
4910427,9603,265,42,80
4910428,9604,275,28,84
4910429,9605,201,22,34
4910432,9606,10,3,4
4910433,9607,395,50,124
4910434,9608,192,18,56
4910436,9609,175,19,19
4910437,9610,467,52,78
4910456,9611,164,7,41
4910468,9612,44,6,13
4910470,9613,246,24,82
4910471,9614,46,5,8
4910472,9615,69,3,27
4910473,9616,83,7,32
4910482,9617,424,56,78
4910484,9618,295,31,61
4910485,9619,159,17,35
4910486,9620,186,23,45
4910487,9621,19,5,4
4910488,9622,240,18,63
4910491,9625,257,16,80
