CNTYVTD,VTDKEY,McAuliffeD_24P_State Rep 32,McAuliffeD_24P_State Rep 32_Percentage
70001,69,55,1.0
70002,70,82,1.0
70003,71,142,1.0
70004,72,115,1.0
7001,73,20,1.0
7004,74,29,1.0
3550002,7149,142,1.0
3550003,7150,230,1.0
3550005,7152,108,1.0
3550006,7153,95,1.0
3550008,7155,83,1.0
3550008,7156,0,0.0
3550008,7157,0,0.0
3550016,7165,39,1.0
3550017,7166,141,1.0
3550018,7167,77,1.0
3550019,7168,96,1.0
3550026,7175,190,1.0
3550029,7178,200,1.0
3550032,7181,94,1.0
3550040,7189,122,1.0
3550042,7191,29,1.0
3550063,7212,157,1.0
3550064,7213,64,1.0
3550065,7214,169,1.0
3550067,7216,179,1.0
3550070,7219,94,1.0
3550081,7230,158,1.0
3550084,7233,35,1.0
3550086,7235,41,1.0
3550088,7237,136,1.0
3550089,7238,22,1.0
3550090,7239,41,1.0
3550091,7240,142,1.0
3550092,7241,132,1.0
3550092,7242,4,1.0
3550109,7259,23,1.0
3550115,7265,96,1.0
3550116,7266,228,1.0
3550117,7267,81,1.0
3550119,7269,123,1.0
3550120,7270,90,1.0
3550122,7272,129,1.0
3550124,7274,156,1.0
3550125,7275,126,1.0
3550126,7276,174,1.0
3550127,7277,55,1.0
3550128,7278,112,1.0
3550129,7279,134,1.0
